Price,Maintenance Cost,Doors,Persons,Luggage Boot,Security,Acceptablity
52000,vhigh,2,2,small,low,unacc
70400,vhigh,2,2,small,med,unacc
88800,vhigh,2,2,small,high,unacc
52000,vhigh,2,2,med,low,unacc
70400,vhigh,2,2,med,med,unacc
88800,vhigh,2,2,med,high,unacc
52000,vhigh,2,2,big,low,unacc
70400,vhigh,2,2,big,med,unacc
88800,vhigh,2,2,big,high,unacc
52000,vhigh,2,4,small,low,unacc
70400,vhigh,2,4,small,med,unacc
89600,vhigh,2,4,small,high,unacc
52000,vhigh,2,4,med,low,unacc
70400,vhigh,2,4,med,med,unacc
89600,vhigh,2,4,med,high,unacc
52000,vhigh,2,4,big,low,unacc
71200,vhigh,2,4,big,med,unacc
89600,vhigh,2,4,big,high,unacc
52000,vhigh,2,more,small,low,unacc
71200,vhigh,2,more,small,med,unacc
89600,vhigh,2,more,small,high,unacc
52800,vhigh,2,more,med,low,unacc
71200,vhigh,2,more,med,med,unacc
89600,vhigh,2,more,med,high,unacc
52800,vhigh,2,more,big,low,unacc
71200,vhigh,2,more,big,med,unacc
89600,vhigh,2,more,big,high,unacc
52800,vhigh,3,2,small,low,unacc
71200,vhigh,3,2,small,med,unacc
90400,vhigh,3,2,small,high,unacc
52800,vhigh,3,2,med,low,unacc
71200,vhigh,3,2,med,med,unacc
90400,vhigh,3,2,med,high,unacc
52800,vhigh,3,2,big,low,unacc
72000,vhigh,3,2,big,med,unacc
90400,vhigh,3,2,big,high,unacc
52800,vhigh,3,4,small,low,unacc
72000,vhigh,3,4,small,med,unacc
90400,vhigh,3,4,small,high,unacc
53600,vhigh,3,4,med,low,unacc
72000,vhigh,3,4,med,med,unacc
90400,vhigh,3,4,med,high,unacc
53600,vhigh,3,4,big,low,unacc
72000,vhigh,3,4,big,med,unacc
90400,vhigh,3,4,big,high,unacc
53600,vhigh,3,more,small,low,unacc
72000,vhigh,3,more,small,med,unacc
91200,vhigh,3,more,small,high,unacc
53600,vhigh,3,more,med,low,unacc
72000,vhigh,3,more,med,med,unacc
91200,vhigh,3,more,med,high,unacc
53600,vhigh,3,more,big,low,unacc
72800,vhigh,3,more,big,med,unacc
91200,vhigh,3,more,big,high,unacc
53600,vhigh,4,2,small,low,unacc
72800,vhigh,4,2,small,med,unacc
91200,vhigh,4,2,small,high,unacc
54400,vhigh,4,2,med,low,unacc
72800,vhigh,4,2,med,med,unacc
91200,vhigh,4,2,med,high,unacc
54400,vhigh,4,2,big,low,unacc
72800,vhigh,4,2,big,med,unacc
91200,vhigh,4,2,big,high,unacc
54400,vhigh,4,4,small,low,unacc
72800,vhigh,4,4,small,med,unacc
92000,vhigh,4,4,small,high,unacc
54400,vhigh,4,4,med,low,unacc
